bolt_neve,termek_neve,akcio_idotartama,leiras,eredeti_ar,kedvezmenyes_ar,kartyas_e,kartya_tipus,kategoria,kategoria_kod,hierarchiaszint,egyedi_hash
SPAR,Johnnie Walker Red Label whisky,2026.04.23 - 04.29,"0,7 l (12.141,43 Ft/1 l) (+visszaváltási díj: 50 Ft)",8499,7199,True,Supershop kártyával,Tömény,146,2,df073b1d86f57bcce9a7e423ecc3bc9240083c937358f43bfdf38c4189234c67
ALDI,BLACKSTONE KRÉMLIKŐR,2026.04.27 - 04.29,"17 % alkoholtartalom, | tejszínes | 0,7 l/üveg | 2 712,86 Ft/l | 829705",2819,1899,False,,Tömény,146,2,78e5b4decd99bd9449ed147ec85cd4d51e975cfe61f23bfad5592486ac8ca81f
ALDI,MANDALEY LONDON DRY GIN,2026.04.27 - 04.29,"40 % alkoholtartalom 0,7 l/üveg 5 712,86 Ft/l",6099,3999,False,,Tömény,146,2,a5fbcc8095b741f7c5091ca65d29a9c6a8a864f7c7f86dc21dc324e1ac646ac5
SPAR,Metaxa 5*,2026.04.09 - 04.29,"szeszes ital 0,7 l (8.570 Ft/1 l) (+visszaváltási díj: 50 Ft)",7949,5999,False,,Tömény,146,2,22a437677a307f841ca804baf2a65b35cdc52def1ecfe91cfe40f7e5552d73ff
SPAR,"Kalumba White, maracuja gin",2026.04.09 - 04.29,"0,7 l (9.427,14 Ft/1 l) (+visszaváltási díj: 50 Ft)",8249,6599,False,,Tömény,146,2,e67f5000100a6383f7c6ec5efdd2c87373a538e549a83764af7fe88c4b5b3c4b
SPAR,"Tullamore whiskey, Café Honey whiskey",2026.04.09 - 04.29,"0,7 l (11.427,14 Ft/1 l) (+visszaváltási díj: 50 Ft)",8799,7999,False,,Tömény,146,2,c7fcc982fa85479c338f95cd225c70ec18c580bd177b07a8cd5d91a330c2d4b5
SPAR,"Olmeca Gold, Silver tequila",2026.04.09 - 04.29,"0,7 l (13.570 Ft/1 l) (+visszaváltási díj: 50 Ft)",12199,9499,False,,Tömény,146,2,24d6ef6fafb3b583c0c5aa8c59b082098c402acdcec3fcf4d02b134be889ec0e
Tesco,Somersby dobozos cider,2026.04.23 - 04.29,"többféle, 0,5 l, 1138 Ft/1 l, Clubcarddal: 1058 Ft/1 l, + visszaváltási díj: 50 Ft/db",569,529,True,Clubcarddal,Cider,170,2,55c154948e7d99e8085bc5dfa9cec106cc890ea4260f9ad0712812cf212463b8
Tesco,Sauska Brut Méthode Traditionelle pezsgő,2026.04.23 - 04.29,"0,75 l 9587 Ft/1 l Clubcarddal: 8532 Ft/1 l + visszaváltási díj: 50 Ft/db",7190,6399,True,Clubcarddal,Egyéb alkoholos ital,255,2,2b7f9cab4e2cf67c22b5bc01df738badb2b9a60101c812f9d8ed013d4e97f2d2
Tesco,Törley pezsgő,2026.04.23 - 04.29,"többféle, 0,75 l | 2665 Ft/1 l | Clubcarddal: 2132 Ft/1 l | + visszaváltási díj: 50 Ft/db",1999,1599,True,Clubcarddal,Egyéb alkoholos ital,255,2,89efe573385a3baa06133b0ddd204186d8370e84ed539ed4a67aeb890fbd3254
SPAR,Natara,2026.04.09 - 04.29,"száraz pezsgő 0,75 l (1.865,33 Ft/1 l) (+visszaváltási díj: 50 Ft) Körtés-barackos ízvilágú pezsgő egy csipetnyi virágossággal és lendületes, üde buborékokkal.",1799,1399,False,,Egyéb alkoholos ital,255,2,a7f51cf865379c2d7f01602ed1c6ea8997743ab946cf3b66142839cecfb2359f
